Category	Term	Count	Percent	Fold	P-value	Bonferroni	FDR	miRNA
Disease	Myocardial Infarction	10	0.19230769	3.63543372	2.64e-4	0.1625	6.52e-3	hsa-mir-29c,hsa-mir-103a-2,hsa-mir-149,hsa-mir-29b-2,hsa-mir-34c,hsa-mir-1-1,hsa-mir-103a-1,hsa-mir-196a-2,hsa-mir-499a,hsa-mir-1-2
Disease	Myocardial Ischemic-Reperfusion Injury	5	0.3125	5.90757979	1.02e-3	0.6287	0.0178	hsa-mir-1-1,hsa-mir-103a-1,hsa-mir-1-2,hsa-mir-103a-2,hsa-mir-499a
Disease	Myotonic Muscular Dystrophy	5	0.35714286	6.75151976	5.10e-4	0.3137	0.0111	hsa-mir-1-1,hsa-mir-103a-1,hsa-mir-1-2,hsa-mir-29c,hsa-mir-103a-2
Disease	Parkinson's Disease	8	0.19512195	3.68863518	1.02e-3	0.629	0.0173	hsa-mir-34b,hsa-mir-29c,hsa-mir-153-2,hsa-mir-153-1,hsa-mir-29b-2,hsa-mir-30a,hsa-mir-1-1,hsa-mir-1-2
Disease	Polycystic Kidney Disease	2	0.14285714	2.7006079	0.1669	1	0.7114	hsa-mir-1-1,hsa-mir-1-2
Disease	Retinal Degeneration	5	0.55555556	10.50236407	3.97e-5	0.0244	1.68e-3	hsa-mir-125a,hsa-mir-1-1,hsa-mir-1-2,hsa-mir-96,hsa-mir-182
Disease	Ventricular Tachycardia	2	0.4	7.56170213	0.0249	1	0.1758	hsa-mir-1-2,hsa-mir-1-1
Disease	Viral Myocarditis	3	0.3	5.6712766	0.0131	1	0.1126	hsa-mir-1-1,hsa-mir-1-2,hsa-mir-499a
Disease	Tumor Metastasis, to Bone	4	0.66666667	12.60283688	1.02e-4	0.0625	3.35e-3	hsa-mir-34b,hsa-mir-1-2,hsa-mir-96,hsa-mir-34c
Disease	Adenovirus Infection	6	0.16666667	3.15070922	0.01	1	0.0903	hsa-mir-103a-2,hsa-mir-101-2,hsa-mir-191,hsa-mir-30a,hsa-mir-103a-1,hsa-mir-101-1
Disease	Carcinoma, Esophageal	9	0.13636364	2.577853	6.64e-3	1	0.069	hsa-mir-34b,hsa-mir-96,hsa-mir-101-2,hsa-mir-34c,hsa-mir-101-1,hsa-mir-625,hsa-mir-196a-2,hsa-mir-196a-1,hsa-mir-375
Disease	Carcinoma, Urothelial	5	0.33333333	6.30141844	7.33e-4	0.4509	0.0139	hsa-mir-30a,hsa-mir-101-2,hsa-mir-101-1,hsa-mir-96,hsa-mir-182
Disease	Chronic Hepatitis	2	0.18181818	3.43713733	0.1116	1	0.5346	hsa-mir-101-2,hsa-mir-101-1
Disease	Diabetes Mellitus, Type 1	2	0.5	9.45212766	0.0155	1	0.1287	hsa-mir-101-2,hsa-mir-101-1
Disease	Graves' Disease	2	0.2	3.78085106	0.0945	1	0.5166	hsa-mir-101-2,hsa-mir-101-1
Disease	Heart Transplant Rejection	2	0.66666667	12.60283688	8.02e-3	1	0.0805	hsa-mir-101-2,hsa-mir-101-1
Disease	Leukemia, Lymphoblastic, Acute, T-Cell	2	0.16666667	3.15070922	0.1295	1	0.5961	hsa-mir-101-2,hsa-mir-101-1
Disease	Lymphoma, Burkitt's	4	0.30769231	5.81669394	3.63e-3	1	0.0417	hsa-mir-101-2,hsa-mir-101-1,hsa-mir-29c,hsa-mir-29b-2
Disease	Lymphoma, Large-Cell, Anaplastic	2	0.16666667	3.15070922	0.1295	1	0.5961	hsa-mir-101-2,hsa-mir-101-1
Disease	Pheochromocytoma	2	0.5	9.45212766	0.0155	1	0.1287	hsa-mir-101-2,hsa-mir-101-1
Disease	Rheumatic Heart Diseases	2	0.5	9.45212766	0.0155	1	0.1287	hsa-mir-101-2,hsa-mir-101-1
Disease	Thyroid Adenomas	2	0.66666667	12.60283688	8.02e-3	1	0.0805	hsa-mir-101-2,hsa-mir-101-1
Disease	Wilms' Tumor	2	0.5	9.45212766	0.0155	1	0.1287	hsa-mir-101-2,hsa-mir-101-1
Disease	Aortic Aneurysm, Abdominal	4	0.19047619	3.60081054	0.022	1	0.1633	hsa-mir-30a,hsa-mir-103a-1,hsa-mir-489,hsa-mir-29b-2
Disease	Autism Spectrum Disorder	3	0.10714286	2.02545593	0.1816	1	0.763	hsa-mir-34b,hsa-mir-103a-2,hsa-mir-103a-1
Disease	Early-Stage Gastric Carcinoma	4	0.4	7.56170213	1.21e-3	0.7423	0.0199	hsa-mir-103a-1,hsa-mir-196a-1,hsa-mir-103a-2,hsa-mir-196a-2
Disease	Gastrointestinal Neoplasms	8	0.09756098	1.84431759	0.0638	1	0.3621	hsa-mir-34b,hsa-mir-103a-2,hsa-mir-191,hsa-mir-103a-1,hsa-mir-34c,hsa-mir-196a-2,hsa-mir-196a-1,hsa-mir-375
Disease	Helicobacter Pylori Infection	3	0.3	5.6712766	0.0131	1	0.1126	hsa-mir-103a-1,hsa-mir-375,hsa-mir-103a-2
Disease	Liver Neoplasms	7	0.28	5.29319149	2.04e-4	0.1252	5.32e-3	hsa-mir-103a-2,hsa-mir-34c,hsa-mir-30a,hsa-mir-103a-1,hsa-mir-10b,hsa-mir-375,hsa-mir-372
Disease	Maternal Obesity During Childbirth	5	0.33333333	6.30141844	7.33e-4	0.4509	0.0139	hsa-mir-30a,hsa-mir-103a-1,hsa-mir-29c,hsa-mir-375,hsa-mir-103a-2
Disease	Mesothelioma	2	0.18181818	3.43713733	0.1116	1	0.5346	hsa-mir-103a-1,hsa-mir-103a-2
Disease	Muscle Atrophy	3	0.17647059	3.33604506	0.0569	1	0.3367	hsa-mir-125a,hsa-mir-103a-1,hsa-mir-103a-2
Disease	Obesity	7	0.1372549	2.59470171	0.0158	1	0.1234	hsa-mir-125a,hsa-mir-425,hsa-mir-342,hsa-mir-33b,hsa-mir-103a-2,hsa-mir-30a,hsa-mir-103a-1
Disease	Polycystic Ovarian Syndrome	4	0.13793103	2.60748349	0.0632	1	0.36	hsa-mir-103a-2,hsa-mir-34c,hsa-mir-103a-1,hsa-mir-375
Disease	Prediabetes	2	0.28571429	5.40121581	0.0489	1	0.2974	hsa-mir-103a-1,hsa-mir-103a-2
Disease	Tumor Metastasis, to Liver	2	0.25	4.72606383	0.0629	1	0.3692	hsa-mir-103a-1,hsa-mir-103a-2
Disease	Adenocarcinoma, Pancreatic Ductal	11	0.15492958	2.92882829	9.18e-4	0.5643	0.0165	hsa-mir-96,hsa-mir-153-2,hsa-mir-615,hsa-mir-153-1,hsa-mir-135a-1,hsa-mir-10a,hsa-mir-10b,hsa-mir-196a-2,hsa-mir-196a-1,hsa-mir-135a-2,hsa-mir-375
Disease	Chronic Hepatitis B	5	0.15625	2.95378989	0.0241	1	0.171	hsa-mir-125a,hsa-mir-29c,hsa-mir-29b-2,hsa-mir-10a,hsa-mir-196a-2
Disease	Congenital Diaphragmatic Hernia	1	0.5	9.45212766	0.103	1	0.5514	hsa-mir-10a
Disease	Inflammatory Bowel Diseases	3	0.09375	1.77227394	0.2377	1	0.9343	hsa-mir-34c,hsa-mir-191,hsa-mir-10a
Disease	Keloid	1	0.07692308	1.45417349	0.5079	1	1	hsa-mir-10a
Disease	Laryngeal Neoplasms	2	0.66666667	12.60283688	8.02e-3	1	0.0805	hsa-mir-34c,hsa-mir-10a
Disease	Lymphoma, Large B-Cell, Diffuse	2	0.05263158	0.99496081	0.607	1	1	hsa-mir-342,hsa-mir-10a
Disease	Mandibular Prognathism	3	0.21428571	4.05091185	0.0341	1	0.2262	hsa-mir-30a,hsa-mir-342,hsa-mir-10a
Disease	Systemic Sclerosis	4	0.44444444	8.40189125	7.55e-4	0.4641	0.014	hsa-mir-30a,hsa-mir-34b,hsa-mir-10a,hsa-mir-34c
Disease	Ankylosing Spondylitis	1	0.11111111	2.10047281	0.3875	1	1	hsa-mir-10b
Disease	Carcinoma, Head And Neck	7	0.53846154	10.1792144	1.23e-6	7.56e-4	1.15e-4	hsa-mir-196a-1,hsa-mir-149,hsa-mir-29c,hsa-mir-375,hsa-mir-10b,hsa-mir-196a-2,hsa-mir-499a
Disease	Huntington's Disease	3	0.5	9.45212766	2.55e-3	1	0.0366	hsa-mir-196a-1,hsa-mir-10b,hsa-mir-196a-2
Disease	Intervertebral Disc Degeneration	1	0.07692308	1.45417349	0.5079	1	1	hsa-mir-10b
Disease	Lymphoma	3	0.05	0.94521277	0.6255	1	1	hsa-mir-1275,hsa-mir-10b,hsa-mir-499a
Disease	Medulloblastoma	5	0.16666667	3.15070922	0.0185	1	0.1405	hsa-mir-125a,hsa-mir-30a,hsa-mir-135a-1,hsa-mir-10b,hsa-mir-135a-2
Disease	Nasopharyngeal Neoplasms	2	0.33333333	6.30141844	0.0361	1	0.2352	hsa-mir-29c,hsa-mir-10b
Disease	Pituitary Adenoma	2	0.10526316	1.98992161	0.266	1	1	hsa-mir-191,hsa-mir-10b
Disease	Androgenetic Alopecia	1	0.5	9.45212766	0.103	1	0.5514	hsa-mir-125a
Disease	Carcinoma, Head And Neck, Adenoid Cystic	1	0.16666667	3.15070922	0.2786	1	1	hsa-mir-125a
Disease	Carcinoma, Lung, Small-Cell	4	0.19047619	3.60081054	0.022	1	0.1633	hsa-mir-125a,hsa-mir-30a,hsa-mir-34c,hsa-mir-29b-2
Disease	Carcinoma, Pancreato-Biliary	1	0.125	2.36303191	0.3532	1	1	hsa-mir-125a
Disease	Carotid Atherosclerosis	1	0.1	1.89042553	0.4201	1	1	hsa-mir-125a
Disease	Colon Adenoma	2	0.0952381	1.80040527	0.3061	1	1	hsa-mir-125a,hsa-mir-182
Disease	Coronary Atherosclerosis	1	0.07142857	1.35030395	0.5341	1	1	hsa-mir-125a
Disease	Diabetic Nephropathy	5	0.20833333	3.93838652	7.10e-3	1	0.0729	hsa-mir-125a,hsa-mir-342,hsa-mir-30a,hsa-mir-135a-1,hsa-mir-135a-2
Disease	Digeorge Syndrome	1	0.16666667	3.15070922	0.2786	1	1	hsa-mir-125a
Disease	Ectopic Pregnancy	2	0.15384615	2.90834697	0.148	1	0.6656	hsa-mir-125a,hsa-mir-30a
Disease	Essential Thrombocythemia	1	0.16666667	3.15070922	0.2786	1	1	hsa-mir-125a
Disease	Gastric Neoplasms	2	0.18181818	3.43713733	0.1116	1	0.5346	hsa-mir-125a,hsa-mir-34b
Disease	HIV-Associated Lipodystrophy	4	0.14285714	2.7006079	0.0567	1	0.337	hsa-mir-125a,hsa-mir-342,hsa-mir-149,hsa-mir-191
Disease	Hepatoblastoma	5	0.19230769	3.63543372	0.0101	1	0.0906	hsa-mir-125a,hsa-mir-34b,hsa-mir-96,hsa-mir-34c,hsa-mir-191
Disease	Immune Thrombocytopenic Purpura	1	0.07692308	1.45417349	0.5079	1	1	hsa-mir-125a
Disease	Leukemia	2	0.02985075	0.56430613	0.8805	1	1	hsa-mir-125a,hsa-mir-34b
Disease	Lupus Nephritis	1	0.07692308	1.45417349	0.5079	1	1	hsa-mir-125a
Disease	Polycythemia Vera	1	0.05	0.94521277	0.6648	1	1	hsa-mir-125a
Disease	Post-Traumatic Stress Disorder	1	0.5	9.45212766	0.103	1	0.5514	hsa-mir-125a
Disease	Respiratory Syncytial Virus Pneumonia	4	0.22222222	4.20094563	0.0127	1	0.1099	hsa-mir-125a,hsa-mir-34c,hsa-mir-34b,hsa-mir-29c
Disease	Rheumatoid Arthritis	9	0.16666667	3.15070922	1.62e-3	0.9965	0.0248	hsa-mir-125a,hsa-mir-34b,hsa-mir-342,hsa-mir-149,hsa-mir-34c,hsa-mir-30a,hsa-mir-3926-2,hsa-mir-3926-1,hsa-mir-499a
Disease	Systemic Juvenile Idiopathic Arthritis	1	0.5	9.45212766	0.103	1	0.5514	hsa-mir-125a
Disease	Vascular Diseases [unspecific]	3	0.11111111	2.10047281	0.1682	1	0.7102	hsa-mir-125a,hsa-mir-196a-2,hsa-mir-499a
Disease	Acute Pancreatitis	2	0.28571429	5.40121581	0.0489	1	0.2974	hsa-mir-135a-1,hsa-mir-135a-2
Disease	Carcinoma, Rectal	6	0.125	2.36303191	0.0379	1	0.2377	hsa-mir-34b,hsa-mir-34c,hsa-mir-135a-1,hsa-mir-196a-2,hsa-mir-196a-1,hsa-mir-135a-2
Disease	Chronic Post-Traumatic Headache	2	0.66666667	12.60283688	8.02e-3	1	0.0805	hsa-mir-135a-2,hsa-mir-135a-1
Disease	Depression Disorder	4	0.17391304	3.28769658	0.03	1	0.1995	hsa-mir-34b,hsa-mir-34c,hsa-mir-135a-1,hsa-mir-135a-2
Disease	Sepsis	6	0.17647059	3.33604506	7.53e-3	1	0.0765	hsa-mir-342,hsa-mir-30a,hsa-mir-135a-1,hsa-mir-182,hsa-mir-135a-2,hsa-mir-375
Disease	Adenocarcinoma, Esophageal	1	0.04545455	0.85928433	0.6997	1	1	hsa-mir-149
Disease	Carcinoma, Gastrointestinal	2	0.33333333	6.30141844	0.0361	1	0.2352	hsa-mir-149,hsa-mir-499a
Disease	Fatty Liver, Non-Alcoholic	1	0.06666667	1.26028369	0.5589	1	1	hsa-mir-149
Disease	Glaucoma	7	0.24137931	4.56309611	5.55e-4	0.3414	0.0111	hsa-mir-29c,hsa-mir-202,hsa-mir-149,hsa-mir-29b-2,hsa-mir-30a,hsa-mir-184,hsa-mir-182
Disease	Habitual Abortion	4	0.28571429	5.40121581	4.88e-3	1	0.0529	hsa-mir-499a,hsa-mir-149,hsa-mir-196a-2,hsa-mir-184
Disease	Hematologic Neoplasms	2	0.05882353	1.11201502	0.5454	1	1	hsa-mir-149,hsa-mir-372
Disease	Lung Fibrosis	5	0.22727273	4.29642166	4.78e-3	1	0.0531	hsa-mir-34b,hsa-mir-153-2,hsa-mir-149,hsa-mir-153-1,hsa-mir-34c
Disease	Myeloma	2	0.125	2.36303191	0.206	1	0.8207	hsa-mir-149,hsa-mir-29b-2
Disease	Ossification of Posterior Longitudinal Ligament	3	0.6	11.34255319	1.33e-3	0.8164	0.0211	hsa-mir-196a-2,hsa-mir-149,hsa-mir-499a
Disease	Squamous Cell Carcinoma, Laryngeal or Hypopharyngeal	3	0.10714286	2.02545593	0.1816	1	0.763	hsa-mir-149,hsa-mir-34c,hsa-mir-375
Disease	Tuberculosis, Pulmonary	4	0.15384615	2.90834697	0.0449	1	0.2777	hsa-mir-149,hsa-mir-196a-2,hsa-mir-499a,hsa-mir-196a-1
Disease	Endometrial Neoplasms	4	0.33333333	6.30141844	2.62e-3	1	0.0358	hsa-mir-153-2,hsa-mir-153-1,hsa-mir-96,hsa-mir-182
Disease	Acute Kidney Injury	2	0.11764706	2.22403004	0.2259	1	0.8899	hsa-mir-449a,hsa-mir-182
Disease	Adenocarcinoma, Colon	3	0.13043478	2.46577243	0.1181	1	0.5511	hsa-mir-96,hsa-mir-30a,hsa-mir-182
Disease	Alcoholic Hepatitis	2	0.2	3.78085106	0.0945	1	0.5166	hsa-mir-30a,hsa-mir-182
Disease	Behcet's Disease	3	0.42857143	8.10182371	4.30e-3	1	0.048	hsa-mir-196a-2,hsa-mir-182,hsa-mir-499a
Disease	Carcinoma, Thyroid, Medullary	2	0.18181818	3.43713733	0.1116	1	0.5346	hsa-mir-375,hsa-mir-182
Disease	Early-Stage Non-Small-Cell Lung Carcinoma	2	0.28571429	5.40121581	0.0489	1	0.2974	hsa-mir-29c,hsa-mir-182
Disease	Fatty Liver [unspecific]	1	0.25	4.72606383	0.1955	1	0.8081	hsa-mir-182
Disease	Hyperactivity Disorder	2	0.5	9.45212766	0.0155	1	0.1287	hsa-mir-96,hsa-mir-182
Disease	Keratitis	2	0.4	7.56170213	0.0249	1	0.1758	hsa-mir-96,hsa-mir-182
Disease	Kidney Injury	2	0.07142857	1.35030395	0.4414	1	1	hsa-mir-30a,hsa-mir-182
Disease	Learned Helplessness	2	0.25	4.72606383	0.0629	1	0.3692	hsa-mir-96,hsa-mir-182
Disease	Leukemia, Biphenotypic, Acute	2	0.33333333	6.30141844	0.0361	1	0.2352	hsa-mir-182,hsa-mir-29b-2
Disease	Light-Induced Retinal Injury	2	0.66666667	12.60283688	8.02e-3	1	0.0805	hsa-mir-96,hsa-mir-182
Disease	Pain[unspecific]	2	0.5	9.45212766	0.0155	1	0.1287	hsa-mir-96,hsa-mir-182
Disease	Soft Tissue Sarcoma	3	0.375	7.08909574	6.61e-3	1	0.07	hsa-mir-34b,hsa-mir-182,hsa-mir-34c
Disease	Squamous Cell Carcinoma, Lung	5	0.2173913	4.10962072	5.86e-3	1	0.0631	hsa-mir-425,hsa-mir-29c,hsa-mir-29b-2,hsa-mir-182,hsa-mir-375
Disease	Cataract	1	0.5	9.45212766	0.103	1	0.5514	hsa-mir-184
Disease	Retinal Neovascularization	1	0.14285714	2.7006079	0.3169	1	1	hsa-mir-184
Disease	Carcinoma, Renal Cell, Chromophobe	2	0.5	9.45212766	0.0155	1	0.1287	hsa-mir-191,hsa-mir-425
Disease	Neuroendocrine Tumors	3	0.5	9.45212766	2.55e-3	1	0.0366	hsa-mir-191,hsa-mir-196a-1,hsa-mir-196a-2
Disease	Non-Traumatic Subarachnoid Hemorrhage	1	0.09090909	1.71856867	0.451	1	1	hsa-mir-191
Disease	Traumatic Brain Injury	2	0.16666667	3.15070922	0.1295	1	0.5961	hsa-mir-191,hsa-mir-499a
Disease	Adenocarcinoma, Gastric-Esophageal Junction	2	0.13333333	2.52056738	0.1863	1	0.7771	hsa-mir-196a-1,hsa-mir-196a-2
Disease	Barrett's Esophagus	2	0.18181818	3.43713733	0.1116	1	0.5346	hsa-mir-196a-1,hsa-mir-196a-2
Disease	Carcinoma, Oral	4	0.10810811	2.04370328	0.1281	1	0.5943	hsa-mir-34b,hsa-mir-196a-2,hsa-mir-196a-1,hsa-mir-372
Disease	Carcinoma, Periampullary	3	0.6	11.34255319	1.33e-3	0.8164	0.0211	hsa-mir-196a-2,hsa-mir-196a-1,hsa-mir-375
Disease	Cardiomyopathy, Dilated	3	0.75	14.17819149	5.52e-4	0.3396	0.0113	hsa-mir-499a,hsa-mir-196a-2,hsa-mir-196a-1
Disease	Cervical Dysplasia	2	0.33333333	6.30141844	0.0361	1	0.2352	hsa-mir-196a-1,hsa-mir-196a-2
Disease	Digestive System Neoplasms	3	0.5	9.45212766	2.55e-3	1	0.0366	hsa-mir-196a-1,hsa-mir-34b,hsa-mir-196a-2
Disease	Focal Segmental Glomerulosclerosis	6	0.35294118	6.67209011	1.44e-4	0.0886	4.00e-3	hsa-mir-30a,hsa-mir-196a-1,hsa-mir-34b,hsa-mir-342,hsa-mir-196a-2,hsa-mir-34c
Disease	Lymphoma, Non-Hodgkin	2	0.33333333	6.30141844	0.0361	1	0.2352	hsa-mir-196a-1,hsa-mir-196a-2
Disease	Renal Fibrosis	3	0.25	4.72606383	0.0223	1	0.1615	hsa-mir-196a-1,hsa-mir-29c,hsa-mir-196a-2
Disease	Scleroderma, Localized	2	0.66666667	12.60283688	8.02e-3	1	0.0805	hsa-mir-196a-2,hsa-mir-196a-1
Disease	Colitis, Ulcerative	3	0.11538462	2.18126023	0.1552	1	0.6677	hsa-mir-342,hsa-mir-196a-2,hsa-mir-499a
Disease	Vitiligo	1	0.5	9.45212766	0.103	1	0.5514	hsa-mir-196a-2
Disease	Scleroderma, Systemic	1	0.33333333	6.30141844	0.1505	1	0.6738	hsa-mir-202
Disease	Acquired Immunodeficiency Syndrome	1	0.2	3.78085106	0.2382	1	0.9344	hsa-mir-29b-2
Disease	Bronchopulmonary Dysplasia	1	0.0625	1.18151596	0.5825	1	1	hsa-mir-29b-2
Disease	Cardiometabolic Disorders	1	0.25	4.72606383	0.1955	1	0.8081	hsa-mir-29b-2
Disease	Cardiomyopathy	3	0.125	2.36303191	0.1301	1	0.5912	hsa-mir-29c,hsa-mir-29b-2,hsa-mir-30a
Disease	Cerebral Ischemia	1	0.09090909	1.71856867	0.451	1	1	hsa-mir-29b-2
Disease	Cholestatic Liver Injury	2	0.4	7.56170213	0.0249	1	0.1758	hsa-mir-29c,hsa-mir-29b-2
Disease	Ependymoma	2	0.33333333	6.30141844	0.0361	1	0.2352	hsa-mir-29c,hsa-mir-29b-2
Disease	Leiomyoma	2	0.33333333	6.30141844	0.0361	1	0.2352	hsa-mir-29c,hsa-mir-29b-2
Disease	Leukemia, Lymphoblastic	4	0.19047619	3.60081054	0.022	1	0.1633	hsa-mir-34c,hsa-mir-29b-2,hsa-mir-449b,hsa-mir-29c
Disease	Leukemia, Lymphocytic, Chronic	4	0.09756098	1.84431759	0.168	1	0.7108	hsa-mir-34b,hsa-mir-29c,hsa-mir-29b-2,hsa-mir-34c
Disease	Leukemia, Lymphocytic, Chronic, B-Cell	4	0.11764706	2.22403004	0.1012	1	0.545	hsa-mir-34b,hsa-mir-29c,hsa-mir-29b-2,hsa-mir-34c
Disease	Myocardial Fibrosis	1	0.0625	1.18151596	0.5825	1	1	hsa-mir-29b-2
Disease	Pulmonary Hypertension	3	0.08333333	1.57535461	0.2962	1	1	hsa-mir-29c,hsa-mir-96,hsa-mir-29b-2
Disease	Schizophrenia	7	0.13207547	2.49678844	0.0193	1	0.1443	hsa-mir-338,hsa-mir-34b,hsa-mir-29c,hsa-mir-29b-2,hsa-mir-34c,hsa-mir-30a,hsa-mir-449a
Disease	Squamous Cell Carcinoma, Tongue	3	0.11111111	2.10047281	0.1682	1	0.7102	hsa-mir-96,hsa-mir-29b-2,hsa-mir-375
Disease	Tuberculosis	2	0.15384615	2.90834697	0.148	1	0.6656	hsa-mir-29c,hsa-mir-29b-2
Disease	Uterine Leiomyoma	2	0.4	7.56170213	0.0249	1	0.1758	hsa-mir-29c,hsa-mir-29b-2
Disease	Wounds and Injuries [unspecific]	1	0.2	3.78085106	0.2382	1	0.9344	hsa-mir-29b-2
Disease	Biliary Atresia	1	0.16666667	3.15070922	0.2786	1	1	hsa-mir-29c
Disease	Male Infertility	4	0.30769231	5.81669394	3.63e-3	1	0.0417	hsa-mir-34c,hsa-mir-449a,hsa-mir-34b,hsa-mir-29c
Disease	Celiac Disease	1	0.1	1.89042553	0.4201	1	1	hsa-mir-30a
Disease	Chondrosarcoma	1	0.04761905	0.90020263	0.6827	1	1	hsa-mir-30a
Disease	Epilepsy	5	0.18518519	3.50078802	0.0119	1	0.104	hsa-mir-34b,hsa-mir-342,hsa-mir-34c,hsa-mir-30a,hsa-mir-4446
Disease	Giant Cell Tumor of Bone	1	0.14285714	2.7006079	0.3169	1	1	hsa-mir-30a
Disease	Graft-Versus-Host Disease	2	0.11111111	2.10047281	0.2459	1	0.9437	hsa-mir-30a,hsa-mir-489
Disease	Idiopathic Pulmonary Fibrosis	4	0.26666667	5.04113475	6.39e-3	1	0.0684	hsa-mir-30a,hsa-mir-34b,hsa-mir-96,hsa-mir-34c
Disease	Malignant Peripheral Nerve Sheath Tumor	1	0.33333333	6.30141844	0.1505	1	0.6738	hsa-mir-30a
Disease	Muscle Diseases [unspecific]	1	0.125	2.36303191	0.3532	1	1	hsa-mir-30a
Disease	Mycobacterium Tuberculosis Infection	1	0.07692308	1.45417349	0.5079	1	1	hsa-mir-30a
Disease	Nephrotic Syndrome	1	0.125	2.36303191	0.3532	1	1	hsa-mir-30a
Disease	Ovarian Serous Cystadenocarcinoma	1	0.25	4.72606383	0.1955	1	0.8081	hsa-mir-30a
Disease	Peritoneal Dialysis Failure	1	0.03225806	0.60981469	0.8172	1	1	hsa-mir-30a
Disease	Prolactinoma	1	0.06666667	1.26028369	0.5589	1	1	hsa-mir-30a
Disease	Amyotrophic Lateral Sclerosis	1	0.11111111	2.10047281	0.3875	1	1	hsa-mir-338
Disease	Fibromyalgia	1	0.16666667	3.15070922	0.2786	1	1	hsa-mir-338
Disease	Kidney Transplant Rejection	1	0.09090909	1.71856867	0.451	1	1	hsa-mir-338
Disease	Nervous System Diseases [unspecific]	1	0.1	1.89042553	0.4201	1	1	hsa-mir-338
Disease	Hypercholesterolaemia	1	0.33333333	6.30141844	0.1505	1	0.6738	hsa-mir-33b
Disease	Hyperglycemia	1	0.5	9.45212766	0.103	1	0.5514	hsa-mir-33b
Disease	Costello Syndrome	1	0.16666667	3.15070922	0.2786	1	1	hsa-mir-342
Disease	Irritable Bowel Syndrome	1	0.16666667	3.15070922	0.2786	1	1	hsa-mir-342
Disease	Lymphoma, T-Cell	1	0.03846154	0.72708674	0.7591	1	1	hsa-mir-342
Disease	Pancreatic Intraductal Papillary Mucinous Neoplasms	1	0.16666667	3.15070922	0.2786	1	1	hsa-mir-342
Disease	Prion Diseases	1	0.5	9.45212766	0.103	1	0.5514	hsa-mir-342
Disease	Allergic Asthma	1	0.25	4.72606383	0.1955	1	0.8081	hsa-mir-34b
Disease	Early-Stage Lung Adenocarcinoma	2	1	18.90425532	2.77e-3	1	0.0365	hsa-mir-34b,hsa-mir-34c
Disease	Hepatitis [unspecific]	3	0.25	4.72606383	0.0223	1	0.1615	hsa-mir-34b,hsa-mir-499a,hsa-mir-34c
Disease	Kidney Neoplasms	2	0.18181818	3.43713733	0.1116	1	0.5346	hsa-mir-34b,hsa-mir-34c
Disease	Leukemia, Promyelocytic, Acute	2	0.13333333	2.52056738	0.1863	1	0.7771	hsa-mir-34c,hsa-mir-34b
Disease	Machado-Joseph Disease	1	0.09090909	1.71856867	0.451	1	1	hsa-mir-34b
Disease	Osteoporosis	2	0.22222222	4.20094563	0.0782	1	0.4356	hsa-mir-34b,hsa-mir-34c
Disease	Leukemia, Myeloid	2	0.11111111	2.10047281	0.2459	1	0.9437	hsa-mir-34c,hsa-mir-449b
Disease	Azoospermia	1	0.09090909	1.71856867	0.451	1	1	hsa-mir-372
Disease	Germ Cell And Embryonal Neoplasms	1	0.5	9.45212766	0.103	1	0.5514	hsa-mir-372
Disease	Testicular Germ Cell Tumor	1	0.1	1.89042553	0.4201	1	1	hsa-mir-372
Disease	Testicular Neoplasms	1	0.33333333	6.30141844	0.1505	1	0.6738	hsa-mir-372
Disease	Allergy	2	0.0952381	1.80040527	0.3061	1	1	hsa-mir-615,hsa-mir-375
Disease	Carcinoma, Basal Cell	1	0.1	1.89042553	0.4201	1	1	hsa-mir-375
Disease	Carcinoma, Merkel Cell	1	0.33333333	6.30141844	0.1505	1	0.6738	hsa-mir-375
Disease	Carcinoma, Supraglottic	1	0.2	3.78085106	0.2382	1	0.9344	hsa-mir-375
Disease	Carcinoma, Thyroid, Follicular	1	0.11111111	2.10047281	0.3875	1	1	hsa-mir-375
Disease	Carcinoma, Tongue	1	0.25	4.72606383	0.1955	1	0.8081	hsa-mir-375
Disease	Gallstones	1	0.2	3.78085106	0.2382	1	0.9344	hsa-mir-375
Disease	Leukemia, Myeloid, Acute, Pediatric	1	0.16666667	3.15070922	0.2786	1	1	hsa-mir-375
Disease	Liver Failure	1	0.33333333	6.30141844	0.1505	1	0.6738	hsa-mir-375
Disease	Early-Stage Breast Carcinoma	1	0.05882353	1.11201502	0.6047	1	1	hsa-mir-425
Disease	Peripheral Vascular Disease	1	0.07142857	1.35030395	0.5341	1	1	hsa-mir-425
Disease	Early-Stage Cervical Squamous Cell Carcinoma	1	0.16666667	3.15070922	0.2786	1	1	hsa-mir-4484
Disease	Bipolar Disorder	1	0.125	2.36303191	0.3532	1	1	hsa-mir-449a
Disease	Interstitial Cystitis	1	0.09090909	1.71856867	0.451	1	1	hsa-mir-449b
Disease	Enterovirus Infection	1	0.14285714	2.7006079	0.3169	1	1	hsa-mir-489
Disease	Carcinoma, Oropharyngeal	1	0.25	4.72606383	0.1955	1	0.8081	hsa-mir-499a
Disease	Cardiomyopathy, Ischemic	1	0.05263158	0.99496081	0.6459	1	1	hsa-mir-499a
Disease	Lymphoma, Follicular	1	0.25	4.72606383	0.1955	1	0.8081	hsa-mir-618
Disease	Small Cell Carcinoma, Esophageal	1	0.125	2.36303191	0.3532	1	1	hsa-mir-625
